material number,plant code,revision level,description,quantity,base unit,color
PN1163,P01,A,Spring,64,EA,Steel
PN1164,P02,B,Grommet,65,EA,Black
PN1165,P03,C,Plug,66,EA,Gray
PN1166,P01,A,Cap,67,EA,Natural
PN1167,P02,B,Filter,68,EA,Brass
PN1168,P03,C,Valve,69,EA,Chrome
PN1169,P01,A,Bracket,70,EA,Silver
PN1170,P02,B,Bolt,71,EA,Zinc
PN1171,P03,C,Washer,72,EA,Steel
PN1172,P01,A,Nut,73,EA,Black
PN1173,P02,B,Screw,74,EA,Gray
PN1174,P03,C,Pin,75,EA,Natural
PN1175,P01,A,Clip,76,EA,Brass
PN1176,P02,B,Gasket,77,EA,Chrome
PN1177,P03,C,Seal,78,EA,Silver
PN1178,P01,A,Bushing,79,EA,Zinc
PN1179,P02,B,Spacer,80,EA,Steel
PN1180,P03,C,Shim,81,EA,Black
PN1181,P01,A,Plate,82,EA,Gray
PN1182,P02,B,Cover,83,EA,Natural
PN1183,P03,C,Housing,84,EA,Brass
PN1184,P01,A,Shaft,85,EA,Chrome
PN1185,P02,B,Gear,86,EA,Silver
PN1186,P03,C,Bearing,87,EA,Zinc
PN1187,P01,A,Spring,88,EA,Steel
PN1188,P02,B,Grommet,89,EA,Black
PN1189,P03,C,Plug,90,EA,Gray
PN1190,P01,A,Cap,91,EA,Natural
PN1191,P02,B,Filter,92,EA,Brass
PN1192,P03,C,Valve,93,EA,Chrome
PN1193,P01,A,Bracket,94,EA,Silver
PN1194,P02,B,Bolt,95,EA,Zinc
PN1195,P03,C,Washer,96,EA,Steel
PN1196,P01,A,Nut,97,EA,Black
PN1197,P02,B,Screw,98,EA,Gray
PN1198,P03,C,Pin,99,EA,Natural
PN1199,P01,A,Clip,1,EA,Brass
PN1200,P02,B,Gasket,2,EA,Chrome
PN1201,P03,C,Seal,3,EA,Silver
PN1202,P01,A,Bushing,4,EA,Zinc
PN1203,P02,B,Spacer,5,EA,Steel
PN1204,P03,C,Shim,6,EA,Black
PN1205,P01,A,Plate,7,EA,Gray
PN1206,P02,B,Cover,8,EA,Natural
PN1207,P03,C,Housing,9,EA,Brass
PN1208,P01,A,Shaft,10,EA,Chrome
PN1209,P02,B,Gear,11,EA,Silver
PN1210,P03,C,Bearing,12,EA,Zinc
PN1211,P01,A,Spring,13,EA,Steel
PN1212,P02,B,Grommet,14,EA,Black
PN1213,P03,C,Plug,15,EA,Gray
PN1214,P01,A,Cap,16,EA,Natural
PN1215,P02,B,Filter,17,EA,Brass
PN1216,P03,C,Valve,18,EA,Chrome
PN1217,P01,A,Bracket,19,EA,Silver
PN1218,P02,B,Bolt,20,EA,Zinc
PN1219,P03,C,Washer,21,EA,Steel
PN1220,P01,A,Nut,22,EA,Black
PN1221,P02,B,Screw,23,EA,Gray
PN1222,P03,C,Pin,24,EA,Natural
PN1223,P01,A,Clip,25,EA,Brass
PN1224,P02,B,Gasket,26,EA,Chrome
PN1225,P03,C,Seal,27,EA,Silver
PN1226,P01,A,Bushing,28,EA,Zinc
PN1227,P02,B,Spacer,29,EA,Steel
PN1228,P03,C,Shim,30,EA,Black
PN1229,P01,A,Plate,31,EA,Gray
PN1230,P02,B,Cover,32,EA,Natural
PN1231,P03,C,Housing,33,EA,Brass
PN1232,P01,A,Shaft,34,EA,Chrome
PN1233,P02,B,Gear,35,EA,Silver
PN1234,P03,C,Bearing,36,EA,Zinc
PN1235,P01,A,Spring,37,EA,Steel
PN1236,P02,B,Grommet,38,EA,Black
PN1237,P03,C,Plug,39,EA,Gray
PN1238,P01,A,Cap,40,EA,Natural
PN1239,P02,B,Filter,41,EA,Brass
PN1240,P03,C,Valve,42,EA,Chrome
PN1241,P01,A,Bracket,43,EA,Silver
PN1242,P02,B,Bolt,44,EA,Zinc
PN1243,P03,C,Washer,45,EA,Steel
PN1244,P01,A,Nut,46,EA,Black
PN1245,P02,B,Screw,47,EA,Gray
PN1246,P03,C,Pin,48,EA,Natural
PN1247,P01,A,Clip,49,EA,Brass
PN1248,P02,B,Gasket,50,EA,Chrome
PN1249,P03,C,Seal,51,EA,Silver
PN1250,P01,A,Bushing,52,EA,Zinc
PN1251,P02,B,Spacer,53,EA,Steel
PN1252,P03,C,Shim,54,EA,Black
PN1253,P01,A,Plate,55,EA,Gray
PN1254,P02,B,Cover,56,EA,Natural
PN1255,P03,C,Housing,57,EA,Brass
PN1256,P01,A,Shaft,58,EA,Chrome
PN1257,P02,B,Gear,59,EA,Silver
PN1258,P03,C,Bearing,60,EA,Zinc
PN1259,P01,A,Spring,61,EA,Steel
PN1260,P02,B,Grommet,62,EA,Black
PN1261,P03,C,Plug,63,EA,Gray
PN1262,P01,A,Cap,64,EA,Natural
PN1263,P02,B,Filter,65,EA,Brass
PN1264,P03,C,Valve,66,EA,Chrome
PN1265,P01,A,Bracket,67,EA,Silver
PN1266,P02,B,Bolt,68,EA,Zinc
PN1267,P03,C,Washer,69,EA,Steel
PN1268,P01,A,Nut,70,EA,Black
PN1269,P02,B,Screw,71,EA,Gray
PN1270,P03,C,Pin,72,EA,Natural
PN1271,P01,A,Clip,73,EA,Brass
PN1272,P02,B,Gasket,74,EA,Chrome
PN1273,P03,C,Seal,75,EA,Silver
PN1274,P01,A,Bushing,76,EA,Zinc
PN1275,P02,B,Spacer,77,EA,Steel
PN1276,P03,C,Shim,78,EA,Black
PN1277,P01,A,Plate,79,EA,Gray
PN1278,P02,B,Cover,80,EA,Natural
PN1279,P03,C,Housing,81,EA,Brass
PN1280,P01,A,Shaft,82,EA,Chrome
PN1281,P02,B,Gear,83,EA,Silver
PN1282,P03,C,Bearing,84,EA,Zinc
PN1283,P01,A,Spring,85,EA,Steel
PN1284,P02,B,Grommet,86,EA,Black
PN1285,P03,C,Plug,87,EA,Gray
PN1286,P01,A,Cap,88,EA,Natural
PN1287,P02,B,Filter,89,EA,Brass
PN1288,P03,C,Valve,90,EA,Chrome
PN1289,P01,A,Bracket,91,EA,Silver
PN1290,P02,B,Bolt,92,EA,Zinc
PN1291,P03,C,Washer,93,EA,Steel
PN1292,P01,A,Nut,94,EA,Black
PN1293,P02,B,Screw,95,EA,Gray
PN1294,P03,C,Pin,96,EA,Natural
PN1295,P01,A,Clip,97,EA,Brass
PN1296,P02,B,Gasket,98,EA,Chrome
PN1297,P03,C,Seal,99,EA,Silver
PN1298,P01,A,Bushing,1,EA,Zinc
PN1299,P02,B,Spacer,2,EA,Steel
PN1300,P03,C,Shim,3,EA,Black
PN1301,P01,A,Plate,5,EA,Gray
PN1302,P02,B,Cover,5,EA,Natural
PN1303,P03,C,Housing,6,EA,Brass
PN1304,P01,A,Shaft,7,EA,Chrome
PN1305,P02,B,Gear,8,EA,Silver
PN1306,P03,C,Bearing,9,EA,Zinc
PN1307,P01,A,Spring,10,EA,Steel
PN1308,P02,B,Grommet,11,EA,Black
PN1309,P03,C,Plug,12,EA,Gray
PN1310,P01,A,Cap,13,EA,Natural
PN1311,P02,B,Filter,14,EA,Brass
PN1312,P03,C,Valve,15,EA,Chrome
PN1313,P01,A,Bracket,16,EA,Silver
PN1314,P02,B,Bolt,17,EA,Zinc
PN1315,P03,C,Washer,18,EA,Steel
PN1316,P01,A,Nut,19,EA,Black
PN1317,P02,B,Screw,20,EA,Gray
PN1318,P03,C,Pin,21,EA,Natural
PN1319,P01,A,Clip,22,EA,Brass
PN1320,P02,B,Gasket,23,EA,Chrome
PN1321,P03,C,Seal,24,EA,Silver
PN1322,P01,A,Bushing,25,EA,Zinc
PN1323,P02,B,Spacer,26,EA,Steel
PN1324,P03,C,Shim,27,EA,Black
PN1325,P01,A,Plate,28,EA,Gray
PN1326,P02,B,Cover,29,EA,Natural
PN1327,P03,C,Housing,30,EA,Brass
PN1328,P01,A,Shaft,31,EA,Chrome
PN1329,P02,B,Gear,32,EA,Silver
PN1330,P03,C,Bearing,33,EA,Zinc
PN1331,P01,A,Spring,34,EA,Steel
PN1332,P02,B,Grommet,35,EA,Black
PN1333,P03,C,Plug,36,EA,Gray
PN1334,P01,A,Cap,37,EA,Natural
PN1335,P02,B,Filter,38,EA,Brass
PN1336,P03,C,Valve,39,EA,Chrome
PN1337,P01,A,Bracket,40,EA,Silver
PN1338,P02,B,Bolt,41,EA,Zinc
PN1339,P03,C,Washer,42,EA,Steel
PN1340,P01,A,Nut,43,EA,Black
PN1341,P02,B,Screw,44,EA,Gray
PN1342,P03,C,Pin,45,EA,Natural
PN1343,P01,A,Clip,46,EA,Brass
PN1344,P02,B,Gasket,47,EA,Chrome
PN1345,P03,C,Seal,48,EA,Silver
PN1346,P01,A,Bushing,49,EA,Zinc
PN1347,P02,B,Spacer,50,EA,Steel
PN1348,P03,C,Shim,51,EA,Black
PN1349,P01,A,Plate,52,EA,Gray
PN1350,P02,B,Cover,53,EA,Natural
PN1351,P03,C,Housing,54,EA,Brass
PN1352,P01,A,Shaft,55,EA,Chrome
PN1353,P02,B,Gear,56,EA,Silver
PN1354,P03,C,Bearing,57,EA,Zinc
PN1355,P01,A,Spring,58,EA,Steel
PN1356,P02,B,Grommet,59,EA,Black
PN1357,P03,C,Plug,60,EA,Gray
PN1358,P01,A,Cap,61,EA,Natural
PN1359,P02,B,Filter,62,EA,Brass
PN1360,P03,C,Valve,63,EA,Chrome
PN1361,P01,A,Bracket,64,EA,Silver
PN1362,P02,B,Bolt,65,EA,Zinc
PN1363,P03,C,Washer,66,EA,Steel
PN1364,P01,A,Nut,67,EA,Black
PN1365,P02,B,Screw,68,EA,Gray
PN1366,P03,C,Pin,69,EA,Natural
PN1367,P01,A,Clip,70,EA,Brass
PN1368,P02,B,Gasket,71,EA,Chrome
PN1369,P03,C,Seal,72,EA,Silver
PN1370,P01,A,Bushing,73,EA,Zinc
PN1371,P02,B,Spacer,74,EA,Steel
PN1372,P03,C,Shim,75,EA,Black
PN1373,P01,A,Plate,76,EA,Gray
PN1374,P02,B,Cover,77,EA,Natural
PN1375,P03,C,Housing,78,EA,Brass
PN1376,P01,A,Shaft,79,EA,Chrome
PN1377,P02,B,Gear,80,EA,Silver
PN1378,P03,C,Bearing,81,EA,Zinc
PN1379,P01,A,Spring,82,EA,Steel
PN1380,P02,B,Grommet,83,EA,Black
PN1381,P03,C,Plug,84,EA,Gray
PN1382,P01,A,Cap,85,EA,Natural
PN1383,P02,B,Filter,86,EA,Brass
PN1384,P03,C,Valve,87,EA,Chrome
PN1385,P01,A,Bracket,88,EA,Silver
PN1386,P02,B,Bolt,89,EA,Zinc
PN1387,P03,C,Washer,90,EA,Steel
PN1388,P01,A,Nut,91,EA,Black
PN1389,P02,B,Screw,92,EA,Gray
PN1390,P03,C,Pin,93,EA,Natural
PN1391,P01,A,Clip,94,EA,Brass
PN1392,P02,B,Gasket,95,EA,Chrome
PN1393,P03,C,Seal,96,EA,Silver
PN1394,P01,A,Bushing,97,EA,Zinc
PN1395,P02,B,Spacer,98,EA,Steel
PN1396,P03,C,Shim,99,EA,Black
PN1397,P01,A,Plate,1,EA,Gray
PN1398,P02,B,Cover,2,EA,Natural
PN1399,P03,C,Housing,3,EA,Brass
PN1400,P01,A,Shaft,4,EA,Chrome
PN1401,P02,B,Gear,5,EA,Silver
PN1402,P03,C,Bearing,6,EA,Zinc
PN1403,P01,A,Spring,7,EA,Steel
PN1404,P02,B,Grommet,8,EA,Black
PN1405,P03,C,Plug,9,EA,Gray
PN1406,P01,A,Cap,10,EA,Natural
PN1407,P02,B,Filter,11,EA,Brass
PN1408,P03,C,Valve,12,EA,Chrome
PN1409,P01,A,Bracket,13,EA,Silver
PN1410,P02,B,Bolt,14,EA,Zinc
PN1411,P03,C,Washer,15,EA,Steel
PN1412,P01,A,Nut,16,EA,Black
PN1413,P02,B,Screw,17,EA,Gray
PN1414,P03,C,Pin,18,EA,Natural
PN1415,P01,A,Clip,19,EA,Brass
PN1416,P02,B,Gasket,20,EA,Chrome
PN1417,P03,C,Seal,21,EA,Silver
PN1418,P01,A,Bushing,22,EA,Zinc
PN1419,P02,B,Spacer,23,EA,Steel
PN1420,P03,C,Shim,24,EA,Black
PN1421,P01,A,Plate,25,EA,Gray
PN1422,P02,B,Cover,26,EA,Natural
PN1423,P03,C,Housing,27,EA,Brass
PN1424,P01,A,Shaft,28,EA,Chrome
PN1425,P02,B,Gear,29,EA,Silver
PN1426,P03,C,Bearing,30,EA,Zinc
PN1427,P01,A,Spring,31,EA,Steel
PN1428,P02,B,Grommet,32,EA,Black
PN1429,P03,C,Plug,33,EA,Gray
PN1430,P01,A,Cap,34,EA,Natural
PN1431,P02,B,Filter,35,EA,Brass
PN1432,P03,C,Valve,36,EA,Chrome
PN1433,P01,A,Bracket,37,EA,Silver
PN1434,P02,B,Bolt,38,EA,Zinc
PN1435,P03,C,Washer,39,EA,Steel
PN1436,P01,A,Nut,40,EA,Black
PN1437,P02,B,Screw,41,EA,Gray
PN1438,P03,C,Pin,42,EA,Natural
PN1439,P01,A,Clip,43,EA,Brass
PN1440,P02,B,Gasket,44,EA,Chrome
PN1441,P03,C,Seal,45,EA,Silver
PN1442,P01,A,Bushing,46,EA,Zinc
PN1443,P02,B,Spacer,47,EA,Steel
PN1444,P03,C,Shim,48,EA,Black
PN1445,P01,A,Plate,49,EA,Gray
PN1446,P02,B,Cover,50,EA,Natural
PN1447,P03,C,Housing,51,EA,Brass
PN1448,P01,A,Shaft,52,EA,Chrome
PN1449,P02,B,Gear,53,EA,Silver
PN1450,P03,C,Bearing,54,EA,Zinc
PN1451,P01,A,Spring,55,EA,Steel
PN1452,P02,B,Grommet,56,EA,Black
PN1453,P03,C,Plug,57,EA,Gray
PN1454,P01,A,Cap,58,EA,Natural
PN1455,P02,B,Filter,59,EA,Brass
PN1456,P03,C,Valve,60,EA,Chrome
PN1457,P01,A,Bracket,61,EA,Silver
PN1458,P02,B,Bolt,62,EA,Zinc
PN1459,P03,C,Washer,63,EA,Steel
PN1460,P01,A,Nut,64,EA,Black
PN1461,P02,B,Screw,65,EA,Gray
PN1462,P03,C,Pin,66,EA,Natural
PN1463,P01,A,Clip,67,EA,Brass
PN1464,P02,B,Gasket,68,EA,Chrome
PN1465,P03,C,Seal,69,EA,Silver
PN1466,P01,A,Bushing,70,EA,Zinc
PN1467,P02,B,Spacer,71,EA,Steel
PN1468,P03,C,Shim,72,EA,Black
PN1469,P01,A,Plate,73,EA,Gray
PN1470,P02,B,Cover,74,EA,Natural
PN1471,P03,C,Housing,75,EA,Brass
PN1472,P01,A,Shaft,76,EA,Chrome
PN1473,P02,B,Gear,77,EA,Silver
PN1474,P03,C,Bearing,78,EA,Zinc
PN1475,P01,A,Spring,79,EA,Steel
PN1476,P02,B,Grommet,80,EA,Black
PN1477,P03,C,Plug,81,EA,Gray
PN1478,P01,A,Cap,82,EA,Natural
PN1479,P02,B,Filter,83,EA,Brass
PN1480,P03,C,Valve,84,EA,Chrome
PN1481,P01,A,Bracket,85,EA,Silver
PN1482,P02,B,Bolt,86,EA,Zinc
PN1483,P03,C,Washer,87,EA,Steel
PN1484,P01,A,Nut,88,EA,Black
PN1485,P02,B,Screw,89,EA,Gray
PN1486,P03,C,Pin,90,EA,Natural
PN1487,P01,A,Clip,91,EA,Brass
PN1488,P02,B,Gasket,92,EA,Chrome
PN1489,P03,C,Seal,93,EA,Silver
PN1490,P01,A,Bushing,94,EA,Zinc
PN1491,P02,B,Spacer,95,EA,Steel
PN1492,P03,C,Shim,96,EA,Black
PN1493,P01,A,Plate,97,EA,Gray
PN1494,P02,B,Cover,98,EA,Natural
PN1495,P03,C,Housing,99,EA,Brass
PN1496,P01,A,Shaft,1,EA,Chrome
PN1497,P02,B,Gear,2,EA,Silver
PN1498,P03,C,Bearing,3,EA,Zinc
PN1499,P01,A,Spring,4,EA,Steel
PN1500,P02,B,Grommet,5,EA,Black
PN1501,P03,C,Plug,7,EA,Gray
PN1502,P01,A,Cap,7,EA,Natural
PN1503,P02,B,Filter,8,EA,Brass
PN1504,P03,C,Valve,9,EA,Chrome
PN1505,P01,A,Bracket,10,EA,Silver
PN1506,P02,B,Bolt,11,EA,Zinc
PN1507,P03,C,Washer,12,EA,Steel
PN1508,P01,A,Nut,13,EA,Black
PN1509,P02,B,Screw,14,EA,Gray
PN1510,P03,C,Pin,15,EA,Natural
PN1511,P01,A,Clip,16,EA,Brass
PN1512,P02,B,Gasket,17,EA,Chrome
PN1513,P03,C,Seal,18,EA,Silver
PN1514,P01,A,Bushing,19,EA,Zinc
PN1515,P02,B,Spacer,20,EA,Steel
PN1516,P03,C,Shim,21,EA,Black
PN1517,P01,A,Plate,22,EA,Gray
PN1518,P02,B,Cover,23,EA,Natural
PN1519,P03,C,Housing,24,EA,Brass
PN1520,P01,A,Shaft,25,EA,Chrome
PN1521,P02,B,Gear,26,EA,Silver
PN1522,P03,C,Bearing,27,EA,Zinc
PN1523,P01,A,Spring,28,EA,Steel
PN1524,P02,B,Grommet,29,EA,Black
PN1525,P03,C,Plug,30,EA,Gray
PN1526,P01,A,Cap,31,EA,Natural
PN1527,P02,B,Filter,32,EA,Brass
PN1528,P03,C,Valve,33,EA,Chrome
PN1529,P01,A,Bracket,34,EA,Silver
PN1530,P02,B,Bolt,35,EA,Zinc
PN1531,P03,C,Washer,36,EA,Steel
PN1532,P01,A,Nut,37,EA,Black
PN1533,P02,B,Screw,38,EA,Gray
PN1534,P03,C,Pin,39,EA,Natural
PN1535,P01,A,Clip,40,EA,Brass
PN1536,P02,B,Gasket,41,EA,Chrome
PN1537,P03,C,Seal,42,EA,Silver
PN1538,P01,A,Bushing,43,EA,Zinc
PN1539,P02,B,Spacer,44,EA,Steel
PN1540,P03,C,Shim,45,EA,Black
PN1541,P01,A,Plate,46,EA,Gray
PN1542,P02,B,Cover,47,EA,Natural
PN1543,P03,C,Housing,48,EA,Brass
PN1544,P01,A,Shaft,49,EA,Chrome
PN1545,P02,B,Gear,50,EA,Silver
PN1546,P03,C,Bearing,51,EA,Zinc
PN1547,P01,A,Spring,52,EA,Steel
PN1548,P02,B,Grommet,53,EA,Black
PN1549,P03,C,Plug,54,EA,Gray
PN1550,P01,A,Cap,55,EA,Natural
PN1551,P02,B,Filter,56,EA,Brass
PN1552,P03,C,Valve,57,EA,Chrome
PN1553,P01,A,Bracket,58,EA,Silver
PN1554,P02,B,Bolt,59,EA,Zinc
PN1555,P03,C,Washer,60,EA,Steel
PN1556,P01,A,Nut,61,EA,Black
PN1557,P02,B,Screw,62,EA,Gray
PN1558,P03,C,Pin,63,EA,Natural
PN1559,P01,A,Clip,64,EA,Brass
PN1560,P02,B,Gasket,65,EA,Chrome
PN1561,P03,C,Seal,66,EA,Silver
PN1562,P01,A,Bushing,67,EA,Zinc
PN1563,P02,B,Spacer,68,EA,Steel
PN1564,P03,C,Shim,69,EA,Black
PN1565,P01,A,Plate,70,EA,Gray
PN1566,P02,B,Cover,71,EA,Natural
PN1567,P03,C,Housing,72,EA,Brass
PN1568,P01,A,Shaft,73,EA,Chrome
PN1569,P02,B,Gear,74,EA,Silver
PN1570,P03,C,Bearing,75,EA,Zinc
PN1571,P01,A,Spring,76,EA,Steel
PN1572,P02,B,Grommet,77,EA,Black
PN1573,P03,C,Plug,78,EA,Gray
PN1574,P01,A,Cap,79,EA,Natural
PN1575,P02,B,Filter,80,EA,Brass
PN1576,P03,C,Valve,81,EA,Chrome
PN1577,P01,A,Bracket,82,EA,Silver
PN1578,P02,B,Bolt,83,EA,Zinc
PN1579,P03,C,Washer,84,EA,Steel
PN1580,P01,A,Nut,85,EA,Black
PN1581,P02,B,Screw,86,EA,Gray
PN1582,P03,C,Pin,87,EA,Natural
PN1583,P01,A,Clip,88,EA,Brass
PN1584,P02,B,Gasket,89,EA,Chrome
PN1585,P03,C,Seal,90,EA,Silver
PN1586,P01,A,Bushing,91,EA,Zinc
PN1587,P02,B,Spacer,92,EA,Steel
PN1588,P03,C,Shim,93,EA,Black
PN1589,P01,A,Plate,94,EA,Gray
PN1590,P02,B,Cover,95,EA,Natural
PN1591,P03,C,Housing,96,EA,Brass
PN1592,P01,A,Shaft,97,EA,Chrome
PN1593,P02,B,Gear,98,EA,Silver
